PROVINCE,CATEGORY,CAT2,CAT_B,MUNICNAME,MAP_TITLE,DISTRICT,AREA,Shape_Leng,Shape_Area,MapNo,MUN_CD,Level
EC,A,Metropolitan Municipality,BUF,Buffalo City,Buffalo City Metropolitan Municipality,BUF,2535.93000000000,4.45822330606,0.24454625582,1,(BUF),1
EC,B,Local Municipality,EC101,Camdeboo,Camdeboo Local Municipality,DC10,12422.10000000000,7.01792747949,1.19035245321,4,(EC101),1
EC,B,Local Municipality,EC102,Blue Crane Route,Blue Crane Route Local Municipality,DC10,11068.60000000000,6.68079306227,1.06532653682,5,(EC102),1
EC,B,Local Municipality,EC103,Ikwezi,Ikwezi Local Municipality,DC10,4562.73000000000,4.02235472906,0.44025658112,6,(EC103),1
EC,B,Local Municipality,EC104,Makana,Makana Local Municipality,DC10,4375.63000000000,4.73391027982,0.42329144573,7,(EC104),1
EC,B,Local Municipality,EC105,Ndlambe,Ndlambe Local Municipality,DC10,1840.63000000000,2.77203626208,0.17863923442,8,(EC105),1
EC,B,Local Municipality,EC106,Sundays River Valley,Sundays River Valley Local Municipality,DC10,5993.52000000000,5.90889625590,0.58161425388,9,(EC106),1
EC,B,Local Municipality,EC107,Baviaans,Baviaans Local Municipality,DC10,11668.30000000000,6.48753635460,1.12933701894,10,(EC107),1
EC,B,Local Municipality,EC108,Kouga,Kouga Local Municipality,DC10,2669.82000000000,3.49131388316,0.26024569702,11,(EC108),1
EC,B,Local Municipality,EC109,Kou-Kamma,Kou-Kamma Local Municipality,DC10,3642.02000000000,4.12665339156,0.35486372174,12,(EC109),1
EC,B,Local Municipality,EC121,Mbhashe,Mbhashe Local Municipality,DC12,3169.45000000000,4.82726511346,0.30288693711,14,(EC121),1
EC,B,Local Municipality,EC122,Mnquma,Mnquma Local Municipality,DC12,3270.24000000000,4.29586387291,0.31326760806,15,(EC122),1
EC,B,Local Municipality,EC123,Great Kei,Great Kei Local Municipality,DC12,1735.99000000000,3.02527274034,0.16687189265,16,(EC123),1
EC,B,Local Municipality,EC124,Amahlathi,Amahlathi Local Municipality,DC12,4820.22000000000,6.41604153431,0.46246965172,17,(EC124),1
EC,B,Local Municipality,EC126,Ngqushwa,Ngqushwa Local Municipality,DC12,2240.91000000000,3.64962472117,0.21666343980,18,(EC126),1
EC,B,Local Municipality,EC127,Nkonkobe,Nkonkobe Local Municipality,DC12,3626.18000000000,4.69853429533,0.34898746481,19,(EC127),1
EC,B,Local Municipality,EC128,Nxuba,Nxuba Local Municipality,DC12,2731.92000000000,3.41973324987,0.26235053099,20,(EC128),1
EC,B,Local Municipality,EC131,Inxuba Yethemba,Inxuba Yethemba Local Municipality,DC13,11662.70000000000,7.04720849921,1.11145322471,22,(EC131),1
EC,B,Local Municipality,EC132,Tsolwana,Tsolwana Local Municipality,DC13,6086.82000000000,5.47905744854,0.57998868419,23,(EC132),1
EC,B,Local Municipality,EC133,Inkwanca,Inkwanca Local Municipality,DC13,3584.24000000000,3.37504283958,0.34027200661,24,(EC133),1
EC,B,Local Municipality,EC134,Lukanji,Lukanji Local Municipality,DC13,3812.86000000000,4.45763644762,0.36424688800,25,(EC134),1
EC,B,Local Municipality,EC135,Intsika Yethu,Intsika Yethu Local Municipality,DC13,2711.14000000000,4.54309393681,0.25859110594,26,(EC135),1
EC,B,Local Municipality,EC136,Emalahleni,Emalahleni Local Municipality,DC13,3447.20000000000,3.83522537533,0.32758872290,27,(EC136),1
EC,B,Local Municipality,EC137,Engcobo,Engcobo Local Municipality,DC13,2483.87000000000,3.00382007121,0.23625377015,28,(EC137),1
EC,B,Local Municipality,EC138,Sakhisizwe,Sakhisizwe Local Municipality,DC13,2354.72000000000,2.95525488031,0.22341338368,29,(EC138),1
EC,B,Local Municipality,EC141,Elundini,Elundini Local Municipality,DC14,5064.54000000000,4.91289882038,0.47793597314,31,(EC141),1
EC,B,Local Municipality,EC142,Senqu,Senqu Local Municipality,DC14,7329.42000000000,5.29107126769,0.69125734198,32,(EC142),1
EC,B,Local Municipality,EC143,Maletswai,Maletswai Local Municipality,DC14,4357.65000000000,4.44493964859,0.41157553084,33,(EC143),1
EC,B,Local Municipality,EC144,Gariep,Gariep Local Municipality,DC14,8911.06000000000,5.87284026353,0.84143874122,34,(EC144),1
EC,B,Local Municipality,EC153,Ngquza Hill,Ngquza Hill Local Municipality,DC15,2476.83000000000,3.95765316958,0.23449927971,36,(EC153),1
EC,B,Local Municipality,EC154,Port St Johns,Port St Johns Local Municipality,DC15,1291.20000000000,2.39396804210,0.12262498312,37,(EC154),1
EC,B,Local Municipality,EC155,Nyandeni,Nyandeni Local Municipality,DC15,2474.01000000000,3.91092283046,0.23509870634,38,(EC155),1
EC,B,Local Municipality,EC156,Mhlontlo,Mhlontlo Local Municipality,DC15,2826.09000000000,5.10180986789,0.26747151811,39,(EC156),1
EC,B,Local Municipality,EC157,King Sabata Dalindyebo,King Sabata Dalindyebo Local Municipality,DC15,3027.37000000000,5.39731379005,0.28819636091,40,(EC157),1
EC,B,Local Municipality,EC441,Matatiele,Matatiele Local Municipality,DC44,4352.31000000000,4.52529853745,0.40832686346,42,(EC441),1
EC,B,Local Municipality,EC442,Umzimvubu,Umzimvubu Local Municipality,DC44,2577.23000000000,4.49956097452,0.24284408519,43,(EC442),1
EC,B,Local Municipality,EC443,Mbizana,Mbizana Local Municipality,DC44,2416.72000000000,3.63053688489,0.22812096590,44,(EC443),1
EC,B,Local Municipality,EC444,Ntabankulu,Ntabankulu Local Municipality,DC44,1384.96000000000,3.28445055556,0.13077039184,45,(EC444),1
EC,A,Metropolitan Municipality,NMA,Nelson Mandela Bay,Nelson Mandela Bay Metropolitan Municipality,NMA,1958.91000000000,2.93982830284,0.19072851939,2,(NMA),1
FS,B,Local Municipality,FS161,Letsemeng,Letsemeng Local Municipality,DC16,9828.58000000000,6.19604032558,0.91320463822,48,(FS161),1
FS,B,Local Municipality,FS162,Kopanong,Kopanong Local Municipality,DC16,15645.10000000000,7.86945199272,1.46242227430,49,(FS162),1
