OBJECTID,FKLPROVID,SPROVINCE,FKLMUNICID,SMUNICIPAL,FKLWARDID,PKLVDNUMBE
1,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001001.00000,10020014.00000
2,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001001.00000,10020025.00000
3,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005001.00000,10030015.00000
4,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005002.00000,10030026.00000
5,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005001.00000,10030037.00000
6,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005002.00000,10030048.00000
7,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004014.00000,10040016.00000
8,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005005.00000,10050017.00000
9,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005005.00000,10050028.00000
10,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005003.00000,10060018.00000
11,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005003.00000,10060029.00000
12,1.00000,Eastern Cape,1106.00000,EC105 - Ndlambe [Port Alfred],21005003.00000,10060030.00000
13,1.00000,Eastern Cape,1103.00000,EC102 - Blue Crane Route [Somerset East],21002006.00000,10070019.00000
14,1.00000,Eastern Cape,1103.00000,EC102 - Blue Crane Route [Somerset East],21002001.00000,10070020.00000
15,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300052.00000,10080010.00000
16,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300052.00000,10080021.00000
17,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300052.00000,10080032.00000
18,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300052.00000,10080043.00000
19,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300053.00000,10080054.00000
20,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300053.00000,10080065.00000
21,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300052.00000,10080076.00000
22,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300052.00000,10080087.00000
23,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300041.00000,10080098.00000
24,1.00000,Eastern Cape,1001.00000,NMA - Nelson Mandela Bay [Port Elizabeth],29300041.00000,10080100.00000
25,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001006.00000,10090011.00000
26,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001002.00000,10090022.00000
27,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001002.00000,10090033.00000
28,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001004.00000,10090044.00000
29,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001005.00000,10090055.00000
30,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001004.00000,10090066.00000
31,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001004.00000,10090077.00000
32,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001003.00000,10090088.00000
33,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001007.00000,10090099.00000
34,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001005.00000,10090101.00000
35,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001006.00000,10090123.00000
36,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001003.00000,10090134.00000
37,1.00000,Eastern Cape,1102.00000,EC101 - Camdeboo [Graaff-Reinet],21001007.00000,10090145.00000
38,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004011.00000,10100013.00000
39,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004006.00000,10100024.00000
40,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004002.00000,10100035.00000
41,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004002.00000,10100046.00000
42,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004009.00000,10100057.00000
43,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004010.00000,10100068.00000
44,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004003.00000,10100079.00000
45,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004007.00000,10100080.00000
46,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004010.00000,10100091.00000
47,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004009.00000,10100103.00000
48,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004008.00000,10100114.00000
49,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004008.00000,10100125.00000
50,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004003.00000,10100136.00000
51,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004004.00000,10100147.00000
52,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004004.00000,10100158.00000
53,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004012.00000,10100169.00000
54,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004002.00000,10100170.00000
55,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004005.00000,10100181.00000
56,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004011.00000,10100192.00000
57,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004005.00000,10100204.00000
58,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004013.00000,10100215.00000
59,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004006.00000,10100226.00000
60,1.00000,Eastern Cape,1105.00000,EC104 - Makana [Grahamstown],21004003.00000,10100237.00000
61,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008009.00000,10110014.00000
62,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008013.00000,10110025.00000
63,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008009.00000,10110036.00000
64,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008009.00000,10110058.00000
65,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008005.00000,10120015.00000
66,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008015.00000,10120026.00000
67,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008004.00000,10120037.00000
68,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008004.00000,10120048.00000
69,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008006.00000,10120059.00000
70,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008004.00000,10120060.00000
71,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008015.00000,10120071.00000
72,1.00000,Eastern Cape,1104.00000,EC103 - Ikwezi [Jansenville],21003001.00000,10130016.00000
73,1.00000,Eastern Cape,1104.00000,EC103 - Ikwezi [Jansenville],21003002.00000,10130027.00000
74,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008003.00000,10140017.00000
75,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008011.00000,10140028.00000
76,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008014.00000,10140039.00000
77,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008002.00000,10140040.00000
78,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008014.00000,10140051.00000
79,1.00000,Eastern Cape,1109.00000,EC108 - Kouga [Humansdorp],21008008.00000,10140062.00000
