PROVINCE,CAT_B,MUNICNAME,WARDNO,WARD_ID,WARD_POP,Area,Shape_Leng,Shape_Area,Level
Western Cape,WC011,Matzikama Local Municipality,1,10101001,3197,113.94518807400,0.73007357604,0.01082911422,2
Western Cape,WC011,Matzikama Local Municipality,2,10101002,3256,467.35497280200,1.36003321495,0.04446286336,2
Western Cape,WC011,Matzikama Local Municipality,3,10101003,3268,201.12178002100,0.74941690299,0.01910579432,2
Western Cape,WC011,Matzikama Local Municipality,4,10101004,3110,34.66956414100,0.33523773867,0.00329700566,2
Western Cape,WC011,Matzikama Local Municipality,5,10101005,3122,541.40753695200,1.47370641093,0.05157456720,2
Western Cape,WC011,Matzikama Local Municipality,6,10101006,3660,148.48043750200,0.76266274806,0.01414944042,2
Western Cape,WC011,Matzikama Local Municipality,7,10101007,3663,1870.88268555000,2.21634299790,0.17794068938,2
Western Cape,WC011,Matzikama Local Municipality,8,10101008,3354,9603.58800005000,6.07776780807,0.90790394241,2
Western Cape,WC012,Cederberg Local Municipality,1,10102001,3677,888.52293891300,1.75761618302,0.08536839510,2
Western Cape,WC012,Cederberg Local Municipality,2,10102002,3321,3.10083002609,0.08765593342,0.00029781790,2
Western Cape,WC012,Cederberg Local Municipality,3,10102003,4178,262.64226243700,0.93040409683,0.02514137573,2
Western Cape,WC012,Cederberg Local Municipality,4,10102004,3700,2081.22287190000,3.41634145901,0.19914207817,2
Western Cape,WC012,Cederberg Local Municipality,5,10102005,3588,699.31427187900,1.26782109528,0.06684319347,2
Western Cape,WC012,Cederberg Local Municipality,6,10102006,2594,4072.67205543000,3.71205955742,0.38953965366,2
Western Cape,WC013,Bergrivier Local Municipality,1,10103001,3225,660.44503439800,1.64913837499,0.06370139223,2
Western Cape,WC013,Bergrivier Local Municipality,2,10103002,3162,320.69473235600,0.88922972248,0.03095820172,2
Western Cape,WC013,Bergrivier Local Municipality,3,10103003,3204,738.20719494200,2.10640059696,0.07103028941,2
Western Cape,WC013,Bergrivier Local Municipality,4,10103004,3634,6.68362515634,0.15857933329,0.00064412940,2
Western Cape,WC013,Bergrivier Local Municipality,5,10103005,3347,1138.37894296000,2.05574420666,0.10947237446,2
Western Cape,WC013,Bergrivier Local Municipality,6,10103006,1552,1458.27147902000,2.17407288164,0.14028244245,2
Western Cape,WC013,Bergrivier Local Municipality,7,10103007,5089,84.35764692620,0.68265101679,0.00812385156,2
Western Cape,WC014,Saldanha Bay Local Municipality,1,10104001,4132,25.36813441810,0.27715143399,0.00244720171,2
Western Cape,WC014,Saldanha Bay Local Municipality,2,10104002,3424,23.14739609270,0.36645916914,0.00223167932,2
Western Cape,WC014,Saldanha Bay Local Municipality,3,10104003,3226,16.79405268450,0.38825791592,0.00162085028,2
Western Cape,WC014,Saldanha Bay Local Municipality,4,10104004,3709,1.07980065084,0.05482902739,0.00010419453,2
Western Cape,WC014,Saldanha Bay Local Municipality,5,10104005,2797,134.37402179600,0.91834800658,0.01295994044,2
Western Cape,WC014,Saldanha Bay Local Municipality,6,10104006,4983,517.78397038900,2.36443211990,0.05003463925,2
Western Cape,WC014,Saldanha Bay Local Municipality,7,10104007,3639,652.52928115500,1.43623018457,0.06300115724,2
Western Cape,WC014,Saldanha Bay Local Municipality,8,10104008,3400,330.38288010600,1.16974403906,0.03184781086,2
Western Cape,WC014,Saldanha Bay Local Municipality,9,10104009,3608,2.61798810583,0.07796121239,0.00025237354,2
Western Cape,WC014,Saldanha Bay Local Municipality,10,10104010,4155,3.71701448709,0.10285995512,0.00035829873,2
Western Cape,WC014,Saldanha Bay Local Municipality,11,10104011,2889,258.08084707000,1.38928756105,0.02485038731,2
Western Cape,WC014,Saldanha Bay Local Municipality,12,10104012,3472,47.30862811220,0.39041331899,0.00455489053,2
Western Cape,WC014,Saldanha Bay Local Municipality,13,10104013,3739,2.18390450490,0.07362565641,0.00021050917,2
Western Cape,WC015,Swartland Local Municipality,1,10105001,3206,455.24002554200,1.04461403870,0.04393938785,2
Western Cape,WC015,Swartland Local Municipality,2,10105002,3626,3.65623374049,0.11733558929,0.00035336542,2
Western Cape,WC015,Swartland Local Municipality,3,10105003,3061,602.52803091400,1.34936822655,0.05826043558,2
Western Cape,WC015,Swartland Local Municipality,4,10105004,2937,714.28220183900,1.61381202525,0.06921327694,2
Western Cape,WC015,Swartland Local Municipality,5,10105005,3393,649.14281935800,1.98255855987,0.06287702372,2
Western Cape,WC015,Swartland Local Municipality,6,10105006,3468,556.11248818000,1.50779057700,0.05381767075,2
Western Cape,WC015,Swartland Local Municipality,7,10105007,3706,314.04084130100,0.89609247190,0.03049486273,2
Western Cape,WC015,Swartland Local Municipality,8,10105008,3691,8.25740060272,0.17152117910,0.00080091288,2
Western Cape,WC015,Swartland Local Municipality,9,10105009,3723,0.77872414344,0.03970134765,0.00007552897,2
Western Cape,WC015,Swartland Local Municipality,10,10105010,3906,6.03114133448,0.14364768005,0.00058487967,2
Western Cape,WC015,Swartland Local Municipality,11,10105011,4011,0.91701899439,0.07111999266,0.00008894419,2
Western Cape,WC015,Swartland Local Municipality,12,10105012,3521,396.35755883000,1.26183494756,0.03843746477,2
Western Cape,WC022,Witzenberg Local Municipality,1,10202001,3122,0.34710590984,0.02862065409,0.00003362430,2
Western Cape,WC022,Witzenberg Local Municipality,2,10202002,3095,242.87919184900,0.82031927799,0.02356520005,2
Western Cape,WC022,Witzenberg Local Municipality,3,10202003,3716,116.02962644700,0.61173442996,0.01124192232,2
Western Cape,WC022,Witzenberg Local Municipality,4,10202004,3947,13.62890784700,0.21991872005,0.00131935970,2
Western Cape,WC022,Witzenberg Local Municipality,5,10202005,4040,337.28855218900,1.21389402845,0.03271765240,2
Western Cape,WC022,Witzenberg Local Municipality,6,10202006,3855,7.44912020437,0.14383102881,0.00072138098,2
Western Cape,WC022,Witzenberg Local Municipality,7,10202007,4025,266.12863530800,0.84380393662,0.02578078078,2
Western Cape,WC022,Witzenberg Local Municipality,8,10202008,3163,1391.68867561000,2.81871026397,0.13411728039,2
Western Cape,WC022,Witzenberg Local Municipality,9,10202009,3079,774.43564131300,1.45112729365,0.07453119034,2
Western Cape,WC022,Witzenberg Local Municipality,10,10202010,3248,343.85739361100,1.22411785507,0.03324232331,2
Western Cape,WC022,Witzenberg Local Municipality,11,10202011,3860,268.05254910100,0.82051443613,0.02591992150,2
Western Cape,WC022,Witzenberg Local Municipality,12,10202012,3058,6990.89094086000,5.05865251334,0.67370914243,2
Western Cape,WC023,Drakenstein Local Municipality,1,10203001,3517,181.81615743400,0.89856840834,0.01769678918,2
Western Cape,WC023,Drakenstein Local Municipality,2,10203002,3433,2.69555091200,0.08873701753,0.00026195881,2
Western Cape,WC023,Drakenstein Local Municipality,3,10203003,3057,197.44388005600,0.99220204376,0.01918630100,2
Western Cape,WC023,Drakenstein Local Municipality,4,10203004,4244,5.72215845765,0.12321136121,0.00055673052,2
Western Cape,WC023,Drakenstein Local Municipality,5,10203005,2622,0.39807161968,0.02754999971,0.00003869681,2
Western Cape,WC023,Drakenstein Local Municipality,6,10203006,3434,0.29948150087,0.02805121798,0.00002911561,2
Western Cape,WC023,Drakenstein Local Municipality,7,10203007,3325,1.12790722911,0.05672122635,0.00010963988,2
Western Cape,WC023,Drakenstein Local Municipality,8,10203008,4258,0.15365209316,0.02861502178,0.00001493765,2
Western Cape,WC023,Drakenstein Local Municipality,9,10203009,3344,0.60409177492,0.04042849194,0.00005873152,2
Western Cape,WC023,Drakenstein Local Municipality,10,10203010,3241,0.80484961721,0.04006799487,0.00007822933,2
Western Cape,WC023,Drakenstein Local Municipality,11,10203011,4249,4.98478468563,0.15027657890,0.00048460954,2
Western Cape,WC023,Drakenstein Local Municipality,12,10203012,3443,0.35111704209,0.02523321868,0.00003413781,2
Western Cape,WC023,Drakenstein Local Municipality,13,10203013,4179,0.66940915968,0.03783627522,0.00006510089,2
Western Cape,WC023,Drakenstein Local Municipality,14,10203014,3721,1.03240508841,0.05079889252,0.00010039713,2
Western Cape,WC023,Drakenstein Local Municipality,15,10203015,4317,37.78045176330,0.48634880761,0.00367565584,2
Western Cape,WC023,Drakenstein Local Municipality,16,10203016,3231,0.35469018293,0.02892170297,0.00003448594,2
Western Cape,WC023,Drakenstein Local Municipality,17,10203017,5273,21.93843594470,0.25883499165,0.00213300517,2
Western Cape,WC023,Drakenstein Local Municipality,18,10203018,3376,67.15125736520,0.58919115185,0.00651973095,2
Western Cape,WC023,Drakenstein Local Municipality,19,10203019,3879,4.21340504637,0.11001075319,0.00040984816,2
Western Cape,WC023,Drakenstein Local Municipality,20,10203020,3301,0.58486694292,0.03538254946,0.00005689673,2
Western Cape,WC023,Drakenstein Local Municipality,21,10203021,4453,0.56291529749,0.04103546236,0.00005475737,2
Western Cape,WC023,Drakenstein Local Municipality,22,10203022,4027,3.19893240294,0.10652597126,0.00031116779,2
Western Cape,WC023,Drakenstein Local Municipality,23,10203023,3810,2.66707679255,0.08406071682,0.00025948498,2
Western Cape,WC023,Drakenstein Local Municipality,24,10203024,3308,0.51889361683,0.03881512441,0.00005047075,2
Western Cape,WC023,Drakenstein Local Municipality,25,10203025,3405,142.08544213300,0.75277513585,0.01382508694,2
Western Cape,WC023,Drakenstein Local Municipality,26,10203026,4325,0.90325946319,0.05841797013,0.00008787515,2
Western Cape,WC023,Drakenstein Local Municipality,27,10203027,3808,0.55169357948,0.03279312895,0.00005367540,2
Western Cape,WC023,Drakenstein Local Municipality,28,10203028,3293,203.41510456600,0.86001953291,0.01980405407,2
Western Cape,WC023,Drakenstein Local Municipality,29,10203029,3386,38.22408867270,0.42858366336,0.00371607572,2
Western Cape,WC023,Drakenstein Local Municipality,30,10203030,3488,74.33090580560,0.40367949190,0.00718594512,2
Western Cape,WC023,Drakenstein Local Municipality,31,10203031,4342,541.07240446400,1.62503678943,0.05246611543,2
Western Cape,WC024,Stellenbosch Local Municipality,1,10204001,4344,205.46120581100,0.85820492545,0.02003286868,2
Western Cape,WC024,Stellenbosch Local Municipality,2,10204002,3583,5.56454468801,0.15164427689,0.00054232812,2
Western Cape,WC024,Stellenbosch Local Municipality,3,10204003,3298,104.07834166200,0.72124237543,0.01014197380,2
Western Cape,WC024,Stellenbosch Local Municipality,4,10204004,3918,25.63306883960,0.26595287079,0.00249907136,2
Western Cape,WC024,Stellenbosch Local Municipality,5,10204005,3151,109.59007725700,0.69450911011,0.01068954332,2
Western Cape,WC024,Stellenbosch Local Municipality,6,10204006,3169,34.48753664490,0.34667171960,0.00336056694,2
Western Cape,WC024,Stellenbosch Local Municipality,7,10204007,2832,2.86329690906,0.09320064926,0.00027919154,2
Western Cape,WC024,Stellenbosch Local Municipality,8,10204008,3422,1.00347323312,0.06439146052,0.00009785223,2
Western Cape,WC024,Stellenbosch Local Municipality,9,10204009,3792,0.70981877993,0.04443188082,0.00006921625,2
Western Cape,WC024,Stellenbosch Local Municipality,10,10204010,3846,1.89262968331,0.07894344977,0.00018453342,2
Western Cape,WC024,Stellenbosch Local Municipality,11,10204011,2630,26.36929483900,0.32268871873,0.00257122964,2
Western Cape,WC024,Stellenbosch Local Municipality,12,10204012,3175,2.70398657349,0.10026849494,0.00026362663,2
Western Cape,WC024,Stellenbosch Local Municipality,13,10204013,4413,0.38180844947,0.03141807336,0.00003722280,2
Western Cape,WC024,Stellenbosch Local Municipality,14,10204014,4047,0.27544128422,0.03230320767,0.00002685232,2
Western Cape,WC024,Stellenbosch Local Municipality,15,10204015,4241,0.26527755073,0.03207405833,0.00002586305,2
Western Cape,WC024,Stellenbosch Local Municipality,16,10204016,3303,0.77856604373,0.05052911044,0.00007589744,2
Western Cape,WC024,Stellenbosch Local Municipality,17,10204017,3882,1.60707968839,0.07256132684,0.00015665171,2
Western Cape,WC024,Stellenbosch Local Municipality,18,10204018,3498,19.56778095760,0.20509831075,0.00190551950,2
Western Cape,WC024,Stellenbosch Local Municipality,19,10204019,3483,110.45121418900,0.60053236249,0.01076225903,2
Western Cape,WC024,Stellenbosch Local Municipality,20,10204020,3865,111.00756371400,0.63765740297,0.01083202081,2
Western Cape,WC024,Stellenbosch Local Municipality,21,10204021,3747,57.25692758300,0.41071924176,0.00558654418,2
Western Cape,WC024,Stellenbosch Local Municipality,22,10204022,3911,9.09620298850,0.18583947873,0.00088714412,2
Western Cape,WC025,Breede Valley Local Municipality,1,10205001,3645,1463.22646357000,2.15585910066,0.14181170621,2
Western Cape,WC025,Breede Valley Local Municipality,2,10205002,3861,151.68761486200,0.75833276538,0.01470849182,2
