vdnumber,registered,valid,spoilt,total
43502341,1553,1104,14,1118
11780298,796,521,9,530
76080090,1639,1067,12,1079
32951606,2710,1838,17,1855
76250190,804,536,9,545
33250621,891,763,4,767
98280052,3109,1972,8,1980
22200174,932,806,21,827
10841363,221,165,3,168
76250437,1038,545,10,555
22750141,2420,695,12,707
22600369,1088,549,7,556
32890349,1717,1609,31,1640
33060484,2224,1678,26,1704
97090421,3033,2378,7,2385
43992186,487,334,6,340
86743222,555,403,10,413
97130796,1564,1370,9,1379
43350410,948,616,20,636
32862124,2177,1229,14,1243
76291016,465,240,2,242
76170315,861,585,15,600
21970010,842,483,7,490
43500710,386,238,1,239
11780120,532,381,8,389
54620119,636,391,10,401
97520036,899,731,1,732
76321324,109,87,0,87
97120256,2136,1498,0,1498
11772097,398,419,14,433
97280073,2911,2396,4,2400
10890547,308,237,0,237
33010052,4083,3156,33,3189
10590454,1759,1243,1,1244
76220557,1414,864,5,869
32951774,2536,1617,15,1632
11780591,517,394,4,398
54430051,2120,1086,15,1101
10910719,77,56,0,56
11810483,621,426,8,434
33060158,5249,3983,44,4027
43360095,2331,1796,4,1800
32900116,5045,3869,31,3900
11070661,214,125,1,126
11200026,1541,1194,10,1204
54130092,698,573,11,584
22420077,1427,859,23,882
43416985,929,723,7,730
11530011,2650,1756,28,1784
54600184,2458,1724,36,1760
43361894,2372,1732,33,1765
86991553,1627,852,16,868
11620639,340,253,5,258
10640012,790,566,12,578
10590162,2200,1648,19,1667
11640169,655,407,4,411
86553030,698,552,18,570
76100699,860,505,9,514
43400764,2704,1800,4,1804
10841037,194,127,2,129
43504534,316,287,2,289
43773633,711,491,16,507
32862719,4057,2851,36,2887
10350010,81,68,0,68
33250047,2339,1735,5,1740
11070436,374,278,15,293
22720306,811,638,9,647
10590634,3174,2277,22,2299
54590126,1628,1138,0,1138
76140200,927,628,7,635
54120057,188,142,2,144
65690062,39,21,0,21
43360994,2110,1702,26,1728
22430045,247,184,0,184
76210680,318,164,1,165
10890143,615,444,5,449
