vdnumber,registered,valid,spoilt,total
43502341,1553,1093,12,1105
11780298,796,493,10,503
76080090,1639,1027,14,1041
32951606,2710,1775,30,1805
76250190,804,515,11,526
33250621,891,719,5,724
98280052,3109,1878,5,1883
22200174,932,774,11,785
10841363,221,150,3,153
76250437,1038,523,4,527
22750141,2420,682,0,682
22600369,1088,539,5,544
32890349,1717,1448,24,1472
33060484,2224,1563,21,1584
97090421,3033,2253,10,2263
43992186,487,333,4,337
86743222,555,395,7,402
97130796,1564,1366,12,1378
43350410,948,524,11,535
32862124,2177,1203,8,1211
76291016,465,220,2,222
76170315,861,588,5,593
21970010,842,471,5,476
43500710,386,234,1,235
11780120,532,369,7,376
54620119,636,378,8,386
97520036,899,712,1,713
76321324,109,85,0,85
97120256,2136,1477,0,1477
11772097,398,417,10,427
97280073,2911,2251,9,2260
10890547,308,210,4,214
33010052,4083,3028,29,3057
10590454,1759,1251,5,1256
76220557,1414,836,5,841
32951774,2536,1402,12,1414
11780591,517,372,3,375
54430051,2120,990,26,1016
10910719,77,54,0,54
11810483,621,422,5,427
33060158,5249,3765,48,3813
43360095,2331,1759,4,1763
32900116,5045,3426,22,3448
11070661,214,122,1,123
11200026,1541,1141,13,1154
54130092,698,527,5,532
22420077,1427,855,17,872
43416985,929,723,5,728
11530011,2650,1757,34,1791
54600184,2458,1647,40,1687
43361894,2372,1723,2,1725
86991553,1627,809,10,819
11620639,340,240,4,244
10640012,790,560,7,567
10590162,2200,1616,12,1628
11640169,655,392,6,398
86553030,698,552,10,562
76100699,860,487,8,495
43400764,2704,1819,5,1824
10841037,194,117,2,119
43504534,316,286,1,287
43773633,711,500,7,507
32862719,4057,2610,26,2636
10350010,81,68,0,68
33250047,2339,1716,5,1721
11070436,374,274,8,282
22720306,811,615,10,625
10590634,3174,2137,21,2158
54590126,1628,1109,17,1126
76140200,927,593,8,601
54120057,188,143,1,144
65690062,39,21,0,21
43360994,2110,1703,19,1722
22430045,247,181,1,182
76210680,318,154,3,157
10890143,615,427,4,431
76280362,1202,720,70,790
11752219,230,163,3,166
65140130,708,670,5,675
43450073,254,282,2,284
43770089,416,324,0,324
11650610,186,130,4,134
21861413,478,405,4,409
43500765,1846,1278,19,1297
43410631,660,408,6,414
32861134,1899,1387,24,1411
33260172,2619,1560,11,1571
54870183,2343,1707,15,1722
98400078,2194,1345,6,1351
86770042,1892,1260,23,1283
32952078,3287,1908,6,1914
11580511,624,566,1,567
11631608,504,348,3,351
76350450,751,422,9,431
97110042,2085,1321,13,1334
54880634,484,365,8,373
43640018,2662,1685,16,1701
76080506,401,306,4,310
43500888,1015,707,10,717
43951215,506,518,4,522
54911134,659,793,1,794
10900044,277,204,0,204
10870657,738,539,2,541
32862562,1223,1040,4,1044
54100033,1939,824,1,825
32840681,2748,1807,14,1821
97092119,1828,1122,6,1128
76290903,375,153,0,153
11780276,523,324,13,337
43580088,735,462,9,471
76100420,1606,693,4,697
76450147,2488,1460,19,1479
54620816,300,157,5,162
43430037,580,382,5,387
97530138,423,251,8,259
97200132,1591,687,9,696
43622175,902,579,21,600
33040145,456,391,10,401
10810684,414,274,7,281
76321526,296,190,0,190
11830137,630,430,8,438
97142575,554,538,7,545
22420594,967,486,7,493
86663436,180,141,4,145
32851368,2003,1747,17,1764
76240515,296,351,1,352
22530057,1154,889,12,901
86740151,1105,684,18,702
11631204,223,134,7,141
10810796,228,160,2,162
43692004,947,651,21,672
86992206,310,230,3,233
10080010,2278,1560,15,1575
43400607,997,831,1,832
22650443,335,192,7,199
54830055,2502,1977,15,1992
76280070,1016,520,3,523
32952337,3374,2377,61,2438
22650308,382,263,4,267
43770898,1194,892,19,911
43400843,1886,1680,3,1683
43990757,1123,744,86,830
32980079,5379,3736,17,3753
33250216,2305,1618,15,1633
43992490,961,747,7,754
10940543,390,255,3,258
11090078,85,47,0,47
86550914,432,247,4,251
11630731,462,255,5,260
32890765,949,1041,11,1052
76080696,327,347,5,352
32960538,5962,2608,13,2621
10840070,601,416,4,420
32851212,1898,1202,5,1207
43600047,3411,1970,17,1987
86661108,1965,1414,10,1424
54210349,336,302,2,304
76280429,528,383,5,388
54330072,2605,1681,26,1707
10850408,449,273,15,288
11781211,226,138,4,142
43416165,674,536,6,542
10940071,313,193,1,194
54580215,1038,706,5,711
43951170,306,241,2,243
76260359,559,269,5,274
98130045,1138,826,18,844
86660220,976,577,4,581
33010311,2438,1742,13,1755
11580308,699,453,2,455
11640147,526,302,6,308
10920147,602,396,6,402
11460327,179,113,13,126
10940330,376,235,4,239
86742928,364,224,14,238
86610034,413,300,5,305
11571296,582,360,7,367
11811125,310,212,6,218
43410743,929,646,16,662
43411621,1288,839,5,844
11790716,309,225,4,229
43501250,1297,781,11,792
32863114,886,924,5,929
43620263,426,305,1,306
43418820,871,709,0,709
43362312,417,324,3,327
10870950,527,387,6,393
32862696,4910,2436,278,2714
33060978,2754,1982,37,2019
11750509,275,178,1,179
32870921,2680,1961,15,1976
43583182,567,442,4,446
43950168,1477,986,7,993
43500811,1079,618,5,623
22800013,95,40,1,41
33080161,1836,1433,40,1473
54620715,492,377,5,382
11590590,1157,707,18,725
54410059,303,272,0,272
32951033,3057,2172,10,2182
97091624,3895,3074,34,3108
32960628,2810,1779,19,1798
32850929,2762,2083,9,2092
33250777,1016,1032,26,1058
43584116,628,518,2,520
43417380,1128,740,3,743
54590395,513,367,11,378
76130388,597,348,3,351
43370816,3993,3255,41,3296
43993738,874,669,12,681
86551892,695,359,10,369
32960268,3088,2207,6,2213
43625550,1102,828,11,839
43419270,179,158,3,161
86742827,81,70,0,70
11070830,463,284,6,290
86820767,269,110,6,116
76150458,988,663,5,668
76270530,357,215,5,220
21860085,2448,1837,0,1837
43419089,440,351,6,357
43415557,1166,927,11,938
44030089,1733,1148,35,1183
43416413,253,175,4,179
32840265,1185,565,6,571
98110065,533,357,14,371
33260262,1501,982,1,983
76230457,351,227,2,229
32951998,2450,1709,14,1723
32850884,1894,1356,6,1362
43900028,2222,1249,17,1266
43400696,1501,1306,7,1313
97130909,3692,2788,4,2792
76540103,187,58,1,59
54230251,415,433,8,441
43580730,1594,1249,9,1258
11820529,433,251,8,259
32861369,1443,1056,7,1063
43994335,85,49,1,50
11580117,431,245,1,246
11830126,347,249,1,250
33270162,1854,871,29,900
43412745,2509,1547,28,1575
43582608,800,673,13,686
43570054,1348,854,0,854
32861853,2382,1831,16,1847
10670150,934,583,7,590
22820059,175,113,2,115
22090058,113,69,3,72
43411160,585,438,10,448
10810842,475,358,1,359
97090342,2230,1825,7,1832
97090904,1545,1289,14,1303
11771984,148,111,0,111
11760094,440,236,5,241
43400292,1121,1047,3,1050
54680058,1238,533,1,534
76200274,1597,815,13,828
76130254,622,334,5,339
54320037,1312,789,10,799
10910191,202,136,2,138
54890208,1802,1328,13,1341
43691991,154,102,4,106
32862966,3548,2779,29,2808
33060259,2139,1573,16,1589
76520112,44,39,1,40
10790108,358,203,4,207
97141136,4200,3246,91,3337
43951136,1369,1131,22,1153
97960135,1349,1244,19,1263
11810618,368,206,3,209
43413588,1496,872,17,889
76140042,407,232,0,232
43774814,274,216,2,218
86991104,1408,865,1,866
43950797,2112,1698,28,1726
33190039,1312,1066,8,1074
11070605,283,158,1,159
32910432,870,641,3,644
33240259,1830,1030,14,1044
76351013,292,244,3,247
87060012,1803,1428,25,1453
11631653,257,161,1,162
32860605,2009,1494,7,1501
54120181,296,222,0,222
43360040,3001,2486,30,2516
11630810,232,138,3,141
11240053,1057,737,11,748
11831059,273,185,5,190
11780096,623,388,16,404
11630258,676,419,5,424
11620785,533,342,3,345
43372098,376,393,0,393
22420235,538,289,4,293
76341089,294,203,2,205
86743738,350,340,4,344
33010456,1748,1291,5,1296
43690798,680,472,6,478
43502082,2068,1233,0,1233
11821317,292,177,6,183
10250266,3608,2609,18,2627
11611134,89,61,0,61
43416604,716,619,1,620
86990147,898,402,7,409
32871416,421,477,7,484
76080573,294,279,8,287
86740331,791,541,2,543
97090195,2968,2045,18,2063
32980204,3377,2571,102,2673
43371615,1260,812,10,822
11610122,384,224,4,228
76190283,1010,668,9,677
22110163,36,29,0,29
43503140,1043,837,4,841
43583632,340,204,1,205
32860739,2685,1574,19,1593
11750565,870,567,7,574
11220051,2465,1830,31,1861
76150773,315,216,5,221
11600648,1319,849,31,880
33080048,2791,1946,10,1956
32950290,4063,3257,16,3273
43990601,1238,899,15,914
86990507,413,249,5,254
10820146,623,475,1,476
43550018,1803,1105,10,1115
76420021,3204,1689,19,1708
32850312,2087,1424,10,1434
43417694,518,357,6,363
33020019,3959,2896,12,2908
22820071,1338,1434,9,1443
11750150,576,375,25,400
43720017,1435,1017,8,1025
76190519,958,679,9,688
33000040,3825,2691,24,2715
22410177,399,640,5,645
10590319,1799,1616,27,1643
43773295,937,574,13,587
11630113,755,529,5,534
11071213,384,309,3,312
76250808,752,319,9,328
43730131,1133,962,6,968
22170079,761,616,14,630
33020288,2634,1705,5,1710
86554277,293,239,1,240
10910663,326,217,0,217
33250643,1813,1412,17,1429
76251236,314,184,1,185
54440074,504,391,7,398
97141035,2510,1980,0,1980
43502318,495,334,7,341
65370034,1449,1135,43,1178
76480432,635,371,7,378
54790320,2254,1665,33,1698
33020097,2767,2018,30,2048
10300228,3119,2280,9,2289
54540615,524,472,0,472
10950061,919,548,8,556
43670527,1358,1058,14,1072
11631024,360,182,13,195
86740634,885,523,11,534
76430066,520,410,1,411
54410385,116,128,1,129
10920440,127,92,1,93
54740134,692,495,11,506
76370698,360,207,2,209
65190023,1373,893,93,986
98280085,2190,1440,24,1464
32950807,1729,1264,11,1275
11070559,620,343,10,353
86820936,180,118,3,121
97120571,2034,1435,19,1454
32850817,3574,1697,30,1727
97550095,663,339,4,343
86991250,571,376,1,377
43504769,338,289,5,294
22421663,290,221,4,225
33250339,2980,2120,22,2142
32910263,5520,2420,141,2561
86992138,686,370,1,371
76450484,241,232,1,233
98380154,1778,1205,9,1214
54260298,1484,1200,22,1222
10790591,524,371,9,380
43622142,89,57,9,66
11080897,587,420,4,424
11071785,46,26,2,28
76150032,2499,1344,19,1363
76370700,637,370,3,373
10790681,248,186,4,190
86600055,1619,1180,22,1202
97120223,1967,1364,7,1371
43621028,967,645,0,645
22590132,1693,1183,15,1198
11640248,355,244,1,245
11580892,473,260,6,266
43773093,503,387,4,391
86551375,1072,720,15,735
76390106,1085,560,95,655
64980030,1440,1018,16,1034
43416918,845,674,11,685
10250817,2382,1557,32,1589
43990184,811,613,9,622
32950683,1111,861,6,867
11640305,582,378,13,391
76370531,1315,656,26,682
86740263,673,420,5,425
54320093,1094,833,8,841
43770977,1158,1005,12,1017
32861415,2576,1854,26,1880
22640060,260,152,2,154
86910273,2232,1399,29,1428
43360220,3660,2757,36,2793
21860388,1217,763,9,772
43951192,1985,1611,67,1678
76360822,280,201,0,201
11831004,425,347,11,358
33020569,3846,2725,11,2736
43416558,579,422,7,429
33010030,2818,1901,22,1923
86661973,1808,1085,17,1102
76140985,488,348,0,348
43773374,403,309,3,312
76340178,1196,628,4,632
10890121,539,368,4,372
22400301,351,256,3,259
54510139,1380,1200,16,1216
43670167,2287,1559,27,1586
43991567,407,245,3,248
54610499,1414,997,16,1013
76140930,802,518,4,522
86661782,1336,979,12,991
10820977,326,308,3,311
76400243,631,293,3,296
76150234,888,544,12,556
97091938,1410,1032,0,1032
86663403,251,176,6,182
54540042,1692,1139,19,1158
10871197,379,256,1,257
54330038,2970,2365,15,2380
65130061,1027,809,11,820
22600617,639,498,7,505
11650823,429,319,0,319
43414411,745,575,2,577
33090139,2078,1407,61,1468
43730018,1897,1477,23,1500
32851223,1720,1297,16,1313
11630966,661,393,8,401
43417953,344,415,16,431
43380097,1657,1332,2,1334
54790409,1000,781,9,790
87020018,3871,2544,25,2569
97142373,762,760,6,766
32940503,1754,1464,5,1469
43622388,659,464,5,469
97141844,1611,1234,20,1254
11100283,495,375,6,381
10950320,264,233,3,236
33000017,3692,2582,32,2614
11750486,438,235,5,240
22120287,84,66,2,68
22470049,2434,1786,5,1791
43691878,1727,1240,22,1262
21861727,280,430,1,431
11620730,508,327,2,329
32851357,562,501,15,516
32862371,3368,1920,28,1948
43622692,595,375,4,379
86620079,559,427,5,432
11831420,833,647,9,656
43630039,376,323,5,328
86670287,391,503,0,503
76300668,458,335,2,337
32860223,3287,2514,13,2527
43690068,560,367,18,385
86552039,620,399,14,413
32940176,1604,1183,13,1196
11490027,1288,668,14,682
43370782,2268,1755,5,1760
21861738,836,625,3,628
10300161,2742,1845,39,1884
32950964,3533,2213,13,2226
11751713,138,89,0,89
76520167,211,142,2,144
43412958,402,215,4,219
97410012,2882,1299,20,1319
10030048,628,512,8,520
43470019,1753,1487,13,1500
54250017,885,519,5,524
11490016,1760,1316,8,1324
76260023,2635,1280,12,1292
11630494,646,380,11,391
10251009,2992,2363,21,2384
11690030,439,281,5,286
11781255,338,235,7,242
43361917,1709,1445,17,1462
54790241,1355,1024,7,1031
43670448,2160,1622,25,1647
10820809,698,551,8,559
43504208,320,244,4,248
11830845,523,319,2,321
86551139,518,280,1,281
11650418,630,414,8,422
43416053,2113,1873,27,1900
65350133,48,49,0,49
86920072,678,547,26,573
32930186,1978,1559,10,1569
76480814,396,217,24,241
76211254,656,422,6,428
22820262,89,62,0,62
97140045,2957,2461,5,2466
76481129,230,244,2,246
43360916,3684,2629,68,2697
32841761,776,747,18,765
43361928,1841,1530,28,1558
43880014,454,372,7,379
54160084,350,484,5,489
86552129,731,446,17,463
97092276,5368,3299,51,3350
11740025,1297,1071,26,1097
76380037,477,226,4,230
43413702,1026,709,10,719
43620959,907,604,0,604
32951369,1627,1201,9,1210
87050011,1888,1277,15,1292
76140659,782,496,4,500
32861639,2242,1759,9,1768
97710059,1551,957,9,966
32862786,656,371,2,373
76310388,755,433,6,439
11590444,453,250,1,251
97520328,1086,1028,3,1031
11320041,707,556,6,562
76340583,663,385,4,389
22630104,106,66,3,69
43693320,173,138,0,138
11570071,944,640,4,644
97550028,334,226,5,231
76160190,1180,630,19,649
11620752,953,723,7,730
43775118,312,280,3,283
76300590,405,228,4,232
86742096,63,46,0,46
43412464,1058,926,14,940
76211636,303,261,2,263
43581674,723,523,10,533
97220145,2148,1472,10,1482
33250823,607,833,3,836
10591309,991,921,0,921
43580482,2763,2026,39,2065
11100351,190,117,2,119
10871344,620,480,5,485
43580268,672,491,3,494
76211287,888,609,4,613
43581326,531,388,4,392
10570148,530,405,3,408
86991395,939,478,8,486
22790044,1142,901,8,909
43581865,418,311,11,322
97280242,776,639,4,643
54590294,440,321,5,326
43622535,589,341,4,345
43993918,432,316,7,323
10251087,2058,1913,4,1917
22740016,2756,2143,2,2145
11600356,538,261,2,263
33020435,2826,1786,9,1795
21890011,1950,1393,25,1418
32850682,2158,2065,5,2070
54720086,2452,1955,19,1974
10410028,173,93,1,94
11600165,492,318,1,319
10251829,889,1154,20,1174
43504512,245,227,26,253
76210062,653,304,4,308
11071808,205,149,2,151
32951011,2463,1961,0,1961
86552747,121,52,0,52
76330278,499,260,3,263
65970018,1985,1315,2,1317
43690620,974,649,5,654
43771945,114,78,2,80
54580305,479,350,4,354
11631462,391,232,0,232
43371570,2693,1609,9,1618
65220038,2450,1638,18,1656
32870718,2224,1614,21,1635
11821283,428,314,7,321
43690529,955,740,12,752
86553760,504,269,7,276
43991613,726,534,5,539
32862506,1699,1410,7,1417
22650353,300,181,5,186
11610212,519,296,0,296
54620737,189,113,1,114
32863170,1690,1748,2,1750
97280152,2507,1418,15,1433
11070032,217,117,2,119
43371873,1049,970,15,985
10591039,1658,981,16,997
43990285,648,538,18,556
11590400,298,180,1,181
10250165,2902,2519,12,2531
43691328,509,328,3,331
54610185,1725,1103,26,1129
43583508,733,481,6,487
43503746,323,266,2,268
43411463,1190,823,16,839
76150289,1260,794,18,812
